ds_dsei;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
KAIAPÓ DO PARÁ;13;2010;5007;5016
AMAPÁ E NORTE DO PARÁ;2;2010;10421;10424
PARINTINS;22;2010;12983;13219
ALTO RIO JURUÁ;4;2010;15556;15716
GUAMÁ-TOCANTINS;18;2010;20107;21366
ARAGUAIA;8;2010;4466;4636
RIO TAPAJÓS;27;2010;10178;10387
ALTO RIO NEGRO;6;2010;34384;34858
INTERIOR SUL;36;2010;52253;54248
XINGU;32;2010;6261;6278
LITORAL SUL;35;2010;14903;15527
VILHENA;30;2010;6739;7245
MATO GROSSO DO SUL;20;2010;87234;88672
TOCANTINS;29;2010;10627;11310
BAHIA;9;2010;42107;44871
PERNAMBUCO;23;2010;60577;62773
ALTO RIO PURUS;5;2010;12702;13126
YANOMAMI;33;2010;22449;22450
CEARÁ;10;2010;31646;34066
XAVANTE;31;2010;17122;17131
MINAS GERAIS E ESPÍRITO SANTO;11;2010;18154;19780
ALTAMIRA;3;2010;3353;3965
ALAGOAS E SERGIPE;1;2010;17235;19672
PORTO VELHO;24;2010;10740;11376
VALE DO JAVARI;12;2011;5219;5234
LESTE DE RORAIMA;15;2011;59147;60087
POTIGUARA;25;2011;24338;28406
ALTO RIO SOLIMÕES;7;2011;63122;63655
KAIAPÓ DO MATO GROSSO;34;2011;5796;5851
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2011;20953;21602
MÉDIO RIO PURUS;21;2011;9497;10260
MARANHÃO;19;2011;38766;39862
XAVANTE;31;2011;17963;17972
CUIABÁ;26;2011;9035;9301
MANAUS;17;2011;37239;38967
AMAPÁ E NORTE DO PARÁ;2;2011;10811;10814
KAIAPÓ DO PARÁ;13;2011;5233;5242
PARINTINS;22;2011;13520;13758
ALTO RIO JURUÁ;4;2011;16204;16364
ARAGUAIA;8;2011;4613;4784
GUAMÁ-TOCANTINS;18;2011;20777;22049
RIO TAPAJÓS;27;2011;10594;10805
INTERIOR SUL;36;2011;53686;55701
ALTO RIO NEGRO;6;2011;35352;35833
LITORAL SUL;35;2011;15340;15969
XINGU;32;2011;6520;6537
VILHENA;30;2011;7006;7516
MATO GROSSO DO SUL;20;2011;89927;91372
BAHIA;9;2011;43002;45773
TOCANTINS;29;2011;11081;11766
PERNAMBUCO;23;2011;61710;63918
ALTO RIO PURUS;5;2011;13297;13725
YANOMAMI;33;2011;23422;23423
CEARÁ;10;2011;32281;34703
ALTAMIRA;3;2011;3506;4133
ALAGOAS E SERGIPE;1;2011;17617;20056
PORTO VELHO;24;2011;11092;11730
MINAS GERAIS E ESPÍRITO SANTO;11;2011;18674;20315
VALE DO JAVARI;12;2012;5458;5473
MARANHÃO;19;2012;40034;41135
POTIGUARA;25;2012;24904;28981
LESTE DE RORAIMA;15;2012;61352;62303
ALTO RIO SOLIMÕES;7;2012;65708;66247
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2012;21809;22465
MÉDIO RIO PURUS;21;2012;9841;10609
KAIAPÓ DO MATO GROSSO;34;2012;5971;6026
CEARÁ;10;2012;32928;35352
XAVANTE;31;2012;18762;18771
CUIABÁ;26;2012;9310;9576
MANAUS;17;2012;38430;40189
